"Цена по состоянию на 
01.01.2000, руб. 
Код ресурса 
Наименование ресурса 
Ед. изм.","","","",""
"отпускная 
сметная","","","",""
"1 
2 
3 
4 
5","","","",""
"Книга 01 Материалы для строительных и дорожных работ","","","",""
"Часть 01.1 Материалы, изделия и конструкции хризотилсодержащие","","","",""
"Раздел 01.1.01 Материалы, изделия и конструкции хризотилсодержащие","","","",""
"Группа 01.1.01.01 Детали фасонные к листам хризотилцементным","","","",""
"01.1.01.01-0002  Детали фасонные коньковые к листам хризотилцементным 
100 пар 
456,46 
498,00 
волнистым","","","",""
"01.1.01.01-0011  Детали фасонные к листам хризотилцементным стеновым 
м2 
36,36 
37,50","","","",""
"Группа 01.1.01.02 Доски электротехнические","","","",""
"01.1.01.02-0001  Ацэид","","т","881,82","935,00"
"","01.1.01.02-0011  Ацэид (ГОСТ 4248-92) размером: 1500х1000 мм, толщиной 6 
мм","м2","24,95","25,90"
"","01.1.01.02-0012  Ацэид (ГОСТ 4248-92) размером: 1500х1000 мм, толщиной 8 
мм","м2","33,03","34,29"
"","01.1.01.02-0013  Ацэид (ГОСТ 4248-92) размером: 1500х1000 мм, толщиной 10 
мм","м2","41,03","42,67"
"01.1.01.02-0021  Доски электротехнические тугостойкие марки: 350","","т","3 605,62","3 716,77"
"01.1.01.02-0022  Доски электротехнические тугостойкие марки: 400","","т","3 724,59","3 838,12"
"Группа 01.1.01.03 Конструкции хризотилцементные","","","",""
"01.1.01.03-0001  Панели стеновые асбестоцементные облегченные 
м2 
233,61 
239,80","","","",""
"01.1.01.03-1012  Плиты покрытий асбестоцементные облегченные 
м2 
264,48 
275,00","","","",""
"Группа 01.1.01.04 Листы хризотилцементные волнистые","","","",""
"01.1.01.04-0001  Листы асбестоцементные волнистые: высокого профиля","51/177 толщиной 6 мм","м2","15,77","16,60"
"01.1.01.04-0004  Листы хризотилцементные волнистые унифицированного","профиля 54/200, толщина 6,0 мм","м2","12,46","13,22"
"01.1.01.04-0005  Листы хризотилцементные волнистые унифицированного","профиля 54/200, толщина 7,5 мм","м2","23,12","24,20"
"","01.1.01.04-1066  Листы хризотилцементные волнистые обыкновенного профиля 
28/115, толщина 5,5 мм","м2","11,78","12,43"
"01.1.01.04-1068  Листы хризотилцементные волнистые профиля 40/150,","толщина 5,8 мм","м2","14,55","15,30"
"Группа 01.1.01.05 Листы хризотилцементные плоские","","","",""
"","01.1.01.05-0001  Листы хризотилцементные плоские для оросителей градирен, 
непрессованные, толщина 7 мм","м2","16,64","17,45"
"","01.1.01.05-0002  Листы хризотилцементные плоские для оросителей градирен, 
прессованные, толщина 6 мм","м2","20,72","21,54"
"","01.1.01.05-0003  Листы хризотилцементные плоские для оросителей градирен, 
прессованные, толщина 7 мм","м2","21,98","22,90"
"01.1.01.05-0011  Листы хризотилцементные плоские мелкоразмерные для","конструктивных элементов, непрессованные, толщина 6 мм","м2","13,77","14,45"
"01.1.01.05-0012  Листы хризотилцементные плоские мелкоразмерные для","конструктивных элементов зданий, непрессованные, толщина 
8 мм","м2","18,21","19,11"
"01.1.01.05-0013  Листы хризотилцементные плоские мелкоразмерные для","конструктивных элементов зданий, непрессованные, толщина 
10 мм","м2","22,64","23,78"
"01.1.01.05-0014  Листы хризотилцементные плоские мелкоразмерные для","конструктивных элементов зданий, прессованные, толщина 6 
мм","м2","16,98","17,73"
"01.1.01.05-0015  Листы хризотилцементные плоские мелкоразмерные для","конструктивных элементов зданий, прессованные, толщина 8 
мм","м2","22,99","23,99"
